# Last price: 195,,,,,,,
Strike,Price,Expiration,IV,Delta,Theta,Delta_round,Price_30d
150,1.05,2,43.548,-0.063,-0.035,-0.1,0.01
155,1.47,2,42.368,-0.084,-0.042,-0.1,0.21
160,1.9,2,39.894,-0.103,-0.046,-0.1,0.52
165,2.4,2,40.112,-0.141,-0.058,-0.1,0.66
170,3.1,2,38.192,-0.175,-0.064,-0.2,1.18
175,4.15,2,35.036,-0.21,-0.065,-0.2,2.2
180,5.3,2,36.273,-0.274,-0.078,-0.3,2.96
185,6.9,2,35.33,-0.335,-0.084,-0.3,4.38
190,8.8,2,34.917,-0.402,-0.088,-0.4,6.16
195,10.95,2,33.673,-0.473,-0.088,-0.5,8.31
200,13.1,2,32.967,-0.547,-0.086,-0.5,10.52
160,2.73,3,40.943,-0.145,-0.05,-0.1,1.23
165,3.6,3,38.297,-0.169,-0.052,-0.2,2.04
170,4.55,3,37.12,-0.205,-0.057,-0.2,2.84
175,5.47,3,34.876,-0.242,-0.059,-0.2,3.7
180,6.95,3,36.36,-0.3,-0.069,-0.3,4.88
185,8.35,3,34.628,-0.35,-0.07,-0.4,6.25
190,10.5,3,33.472,-0.408,-0.071,-0.4,8.37
195,12.65,3,33.267,-0.469,-0.072,-0.5,10.49
200,15.47,3,31.833,-0.533,-0.07,-0.5,13.37
150,4.56,6,39.836,-0.144,-0.035,-0.1,3.51
155,4.59,6,38.379,-0.166,-0.037,-0.2,3.48
160,6.35,6,37.1,-0.191,-0.039,-0.2,5.18
165,7.47,6,38.289,-0.229,-0.045,-0.2,6.12
170,8.8,6,35.318,-0.253,-0.044,-0.3,7.48
175,10,6,35.027,-0.291,-0.047,-0.3,8.59
180,11.75,6,35.132,-0.331,-0.049,-0.3,10.28
185,13.9,6,32.019,-0.369,-0.047,-0.4,12.49
190,16.35,6,33.399,-0.414,-0.051,-0.4,14.82
195,17.95,6,31.834,-0.459,-0.05,-0.5,16.45
200,20.3,6,32.583,-0.501,-0.051,-0.5,18.77
145,4.4,7,39.777,-0.131,-0.03,-0.1,3.5
150,5.19,7,38.074,-0.149,-0.032,-0.1,4.23
155,5.95,7,38.074,-0.177,-0.035,-0.2,4.9
160,7.04,7,37.823,-0.206,-0.039,-0.2,5.87
165,8.2,7,35.203,-0.228,-0.038,-0.2,7.06
170,9.5,7,36.262,-0.266,-0.043,-0.3,8.21
175,11.2,7,34.901,-0.298,-0.044,-0.3,9.88
180,12.75,7,32.874,-0.332,-0.043,-0.3,11.46
185,14.9,7,33.406,-0.373,-0.046,-0.4,13.52
190,16.85,7,31.84,-0.414,-0.045,-0.4,15.5
195,19.1,7,31,-0.457,-0.045,-0.5,17.75
200,21.45,7,29.559,-0.505,-0.043,-0.5,20.16
